Day,Reef,Depth,Salinity,TSS,Temp,DO
14,12,3.14960315,16.76064822,5,2.018284675,13.6430786
14,13,3.249615362,17.5758984,6.362576205,2.38187499,12.76071379
14,14,6.557737295,16.72780919,5,2.007592424,13.62246119
14,15,6.565474247,17.13076422,5.365986557,2.189946462,12.85433291
14,16,7.938506519,17.0947422,5.365986557,2.019264147,12.85023003
14,17,7.49504095,16.30038739,5.365986557,2.17445017,12.69742446
14,18,6.922046247,16.29723256,5.365986557,2.313797686,12.59163107
14,19,6.458686625,16.31225207,5.365986557,2.499561988,12.46813292
14,20,7.429508732,16.31303439,5.365986557,2.653432328,12.3551396
15,1,8.77460946,20.39563208,10.55203707,4.321762219,12.85744964
15,2,2.987162276,20.00390931,10.55203707,4.012619484,13.01805773
15,3,8.091964535,19.95840779,10.55203707,4.201761695,12.95023585
15,4,7.496664976,19.6746643,10.55203707,3.730924963,13.15115851
15,5,10.03942029,18.58539681,10.55203707,2.865725951,13.59747775
15,6,1.894063944,18.18354969,6.338182025,2.910362685,13.70463628
15,7,7.612968844,18.21597194,6.338182025,2.592533949,13.42070883
15,8,8.336454566,17.6654167,6.338182025,2.338309694,13.91775867
15,9,5.736694009,17.71342566,6.338182025,2.363477961,13.6765387
15,10,2.947856197,16.86355262,6.338182025,1.978388303,14.08809514
15,11,5.692685305,16.84030054,6.338182025,1.968072805,13.99719283
15,12,3.14960315,16.74706261,5,1.927610067,13.69086486
15,13,3.249615362,17.57640727,6.338182025,2.282913924,12.80372466
15,14,6.557737295,16.71405782,5,1.914693448,13.67324084
15,15,6.565474247,17.13058034,5.34155794,2.0905463,12.89680982
15,16,7.938506519,17.10023973,5.34155794,1.926787243,12.89117126
15,17,7.49504095,16.28818621,5.34155794,2.053591564,12.7508423
15,18,6.922046247,16.28027485,5.34155794,2.184787234,12.64972646
15,19,6.458686625,16.289198,5.34155794,2.360490027,12.53193615
15,20,7.429508732,16.28478725,5.34155794,2.505723957,12.42369364
16,1,8.77460946,20.41585113,10.52510071,4.176087818,12.8832665
16,2,2.987162276,20.01672578,10.52510071,3.875879681,13.05132547
16,3,8.091964535,19.9819575,10.52510071,4.054357161,12.96854304
16,4,7.496664976,19.68036893,10.52510071,3.603036205,13.19167006
16,5,10.03942029,18.57038276,10.52510071,2.76328154,13.65885608
16,6,1.894063944,18.1770586,6.31416621,2.795790782,13.75322265
